Region,Province,Centre,Barrage_Oued,Annee,Production_Eau_m3
Fès - Meknès,Tanger-Assilah,Taounate,Barrage Sahla,2023,792377.0
Fès - Meknès,Tanger-Assilah,Taounate,Barrage Sahla,2022,853355.0
Fès - Meknès,Tanger-Assilah,Kariat Ba Med,Oued Sebou,2023,31614.0
Fès - Meknès,Tanger-Assilah,Kariat Ba Med,Oued Sebou,2022,23828.0
Fès - Meknès,Tanger-Assilah,Bouhouda,Barrage Bouhouda,2023,2252354.0
Fès - Meknès,Tanger-Assilah,Bouhouda,Barrage Bouhouda,2022,2124044.0
Fès - Meknès,Tanger-Assilah,M'Kansa,Oued Sebou,2023,657700.0
Fès - Meknès,Tanger-Assilah,M'Kansa,Oued Sebou,2022,598260.0
Fès - Meknès,Tanger-Assilah,Ain Gdah,Oued Inaouen,2023,1770733.0
Fès - Meknès,Tanger-Assilah,Ain Gdah,Oued Inaouen,2022,1780393.0
Fès - Meknès,Tanger-Assilah,Ghafsai et Ourtzagh,Oued Ouargha,2023,1438710.0
Fès - Meknès,Tanger-Assilah,Ghafsai et Ourtzagh,Oued Ouargha,2022,1356953.0
Rabat - Salé - Kénitra,Rabat,Tamesna,"""",2023,5084619.0
Rabat - Salé - Kénitra,Rabat,Tamesna,"""",2022,4065988.0
Rabat - Salé - Kénitra,Rabat,Khémisset,Barrage El Kansra,2023,15451732.0
Rabat - Salé - Kénitra,Rabat,Khémisset,Barrage El Kansra,2022,15443387.0
Béni Mellal - Khénifra,Rabat,Beni Mellal,Ain Asserdoune et  Bin El Ouidane,2023,15016910.0
Béni Mellal - Khénifra,Rabat,Beni Mellal,Ain Asserdoune et  Bin El Ouidane,2022,13006220.0
Béni Mellal - Khénifra,Rabat,Afourar,Canal à/p Bin El Ouidane,2023,203478.0
Béni Mellal - Khénifra,Rabat,Afourar,Canal à/p Bin El Ouidane,2022,154886.0
Béni Mellal - Khénifra,Rabat,Demnate,Barrage Hassan 1er,2023,4641972.0
Béni Mellal - Khénifra,Rabat,Demnate,Barrage Hassan 1er,2022,3743108.0
Béni Mellal - Khénifra,Rabat,OCP,Barrage Ait Massoud,2023,45783763.0
Béni Mellal - Khénifra,Rabat,OCP,Barrage Ait Massoud,2022,46320167.0
Béni Mellal - Khénifra,Rabat,Khénifra,Oued Oum Errbia,2023,8838349.0
Béni Mellal - Khénifra,Rabat,Khénifra,Oued Oum Errbia,2022,8667782.0
Béni Mellal - Khénifra,Rabat,Mrirt,Oued Oum Errbia,2023,1674679.0
Béni Mellal - Khénifra,Rabat,Mrirt,Oued Oum Errbia,2022,1682350.0
Casablanca - Settat,Casablanca,Azemmour,Retenue Sidi Daoui/Daourat,2023,1022558.0
Casablanca - Settat,Casablanca,Azemmour,Retenue Sidi Daoui/Daourat,2022,1265525.0
Marrakech - Safi,Marrakech,El Kelaa,Saguia El Yaacoubia,2023,4596941.0
Marrakech - Safi,Marrakech,El Kelaa,Saguia El Yaacoubia,2022,4266003.0
Marrakech - Safi,Marrakech,Benguerir,Barrage Al Massira,2023,20865683.0
Marrakech - Safi,Marrakech,Benguerir,Barrage Al Massira,2022,18100344.0
Marrakech - Safi,Marrakech,Safi,Retenue de Safi,2023,12622377.0
Marrakech - Safi,Marrakech,Safi,Retenue de Safi,2022,13618472.0
Marrakech - Safi,Marrakech,Tamanar,Barrage S.M.B. Slimane El Jazouli,2023,817203.0
Marrakech - Safi,Marrakech,Tamanar,Barrage S.M.B. Slimane El Jazouli,2022,704938.0
Marrakech - Safi,Marrakech,Essaouira,Barrage Zerrar,2023,4527036.0
Marrakech - Safi,Marrakech,Essaouira,Barrage Zerrar,2022,4804763.0
Marrakech - Safi,Marrakech,Imintanout,,2023,0.0
Marrakech - Safi,Marrakech,Imintanout,,2022,0.0
Marrakech - Safi,Marrakech,Chichaoua,Barrage Abou El Abbas Sebti,2023,3664476.0
Marrakech - Safi,Marrakech,Chichaoua,Barrage Abou El Abbas Sebti,2022,3008420.0
Drâa - Tafilalet,Marrakech,Ouarzazate,Barrage Mansour Eddahbi,2023,556390.0
Drâa - Tafilalet,Marrakech,Ouarzazate,Barrage Mansour Eddahbi,2022,242861.0
Drâa - Tafilalet,Marrakech,Midelt,Barrage Sidi Said,2023,2826877.0
Drâa - Tafilalet,Marrakech,Midelt,Barrage Sidi Said,2022,3401325.0
Souss - Massa,Marrakech,Gand Agadir,Barrage Dkhila,2023,6041707.0
Souss - Massa,Marrakech,Gand Agadir,Barrage Dkhila,2022,14633594.0
Souss - Massa,Marrakech,Taroudant,Barrage Aoulouz,2023,2474111.0
Souss - Massa,Marrakech,Taroudant,Barrage Aoulouz,2022,2554374.0
Souss - Massa,Marrakech,Tiznit et Sidi Ifni,Barrage Youssef Ibn Tachfine,2023,7794182.0
Souss - Massa,Marrakech,Tiznit et Sidi Ifni,Barrage Youssef Ibn Tachfine,2022,7779475.0
Souss - Massa,Marrakech,Ait Baha,Barrage Ahl Souss,2023,963486.0
Souss - Massa,Marrakech,Ait Baha,Barrage Ahl Souss,2022,1013517.0
